"","name","V1","circuit.1","child","girls","sons","woman","age","yearb","race","religion","republican","songerID","progressive.vote","no_cases"
"29","Brorby, Wade",31,10,2,0,2,0,54,1934,1,7,1,1006,0.290322580645161,31
"30","Brown, Bailey",32,6,1,0,1,0,62,1917,1,2,0,605,0,2
"31","Brunetti, Melvin T.",33,9,2,1,1,0,52,1933,1,NA,1,908,0.6,5
"32","Buckley, James L.",34,12,6,1,5,0,62,1923,1,4,1,1207,0,1
"33","Bye, Kermit",35,8,3,2,1,0,NA,NA,NA,NA,0,843,0.416666666666667,12
"34","Cabranes, Jose Alberto",36,2,4,2,2,0,NA,1940,3,4,0,246,1,8
"35","Calabresi, Guido",37,2,3,2,1,0,NA,1932,1,4,0,245,0.555555555555556,18
"36","Campbell, Levin H.",38,1,3,2,1,0,45,1927,1,8,1,106,0.666666666666667,6
"37","Canby, William C.",39,9,3,1,2,0,49,1931,1,NA,0,909,0.714285714285714,7
"38","Cardamone, Richard J.",40,2,0,0,0,0,56,1925,1,4,1,203,0.714285714285714,7
"39","Clark, Thomas A.",42,5,3,1,2,0,59,1920,1,10,0,510,0,3
"40","Clay, Eric",43,6,0,0,0,0,44,1951,2,99,0,650,0.428571428571429,14
"41","Coffey, John L.",44,7,2,1,1,0,60,1922,1,4,1,705,0.28125,32
"42","Coffin, Frank",45,1,4,3,1,0,46,1919,1,3,0,107,0.6,5
"43","Cole, Ransey",46,6,3,1,2,0,NA,NA,NA,NA,0,651,0.5,18
"44","Contie, Leroy J.",47,6,2,1,1,0,56,1926,1,4,1,609,0.333333333333333,3
"45","Cowen, Robert E.",48,3,2,2,0,0,57,1930,1,5,1,308,0.5,8
"46","Cox, Emmett R.",49,11,2,1,1,0,53,1935,1,2,1,1103,0.285714285714286,14
"47","Cudahy, Richard D.",50,7,7,4,3,0,53,1926,1,4,0,706,0.476190476190476,21
"48","Cummings, Walter",51,7,3,0,3,0,50,1916,1,4,0,707,0.363636363636364,11
"49","Cyr, Conrad F.",52,1,2,0,2,0,58,1931,1,4,1,118,0.7,10
"50","Daughtrey, Martha Craig",53,6,1,1,0,1,NA,1942,1,2,0,648,0.375,16
"51","DeMoss, Harold R., Jr.",55,5,2,1,1,0,61,1930,1,2,1,563,0.5,10
"52","Dennis, James",56,5,2,0,2,0,52,1924,1,3,1,570,0.285714285714286,7
"53","Dubina, Joel F.",57,11,3,1,2,0,43,1947,1,7,1,1120,0.8,5
"54","Duhe, John M.",58,5,4,2,2,0,55,1933,1,4,1,561,0.428571428571429,7
"55","Easterbrook, Frank H.",59,7,0,0,0,0,37,1948,1,3,1,709,0.236842105263158,38
"56","Ebel, David M.",60,10,4,2,2,0,48,1940,1,7,1,1009,0.107142857142857,28
"57","Edmondson, James L.",61,11,2,2,0,0,39,1947,1,2,1,1105,0.125,8
"58","Edwards, Harry T.",62,12,2,1,1,0,40,1940,2,8,0,1212,0.625,8
"59","Engel, Albert J.",63,6,4,2,2,0,49,1924,1,2,1,613,0,2
"60","Ervin, Samuel J., III",64,4,4,2,2,0,54,1926,1,7,0,408,0.5,2
"61","Eschbach, Jesse E.",65,7,2,1,1,0,61,1920,1,7,1,710,0.25,4
"62","Evans, Terence",66,7,3,2,1,0,55,1940,1,4,0,742,0.454545454545455,33
"63","Fagg, George B.",67,8,6,3,3,0,48,1934,1,10,1,809,0.533333333333333,30
"64","Fairchild, Thomas",68,7,4,2,2,0,54,1912,1,11,0,712,0,1
"65","Farris, Joseph Jerome",69,9,2,2,0,0,49,1930,2,8,0,917,0.333333333333333,3
"66","Fay, Peter T.",70,5,2,0,2,0,47,1929,1,4,1,515,0.5,8
"67","Feinberg, Wilfred",71,2,3,2,1,0,46,1920,1,5,0,206,1,5
"68","Ferguson, Warren J.",72,9,4,2,2,0,59,1920,1,4,0,919,0.666666666666667,3
