"V1","girls","sons","woman","child","race","republican","circuit","circuit.1","age","religion","yearb","songerID","year","source1","source2","area","z","vote"
135,3,2,0,5,1,1,"2",2,60,8,1915,237,1999,13,14,"employment",1,3
145,3,2,0,5,1,1,"2",2,60,8,1915,237,1998,13,14,"employment",1,2
1558,3,2,0,5,1,1,"2",2,60,8,1915,237,2001,13,14,"employment",1,3
1591,3,2,0,5,1,1,"2",2,60,8,1915,237,1999,13,14,"employment",1,3
85,1,3,0,4,1,1,"2",2,57,4,1933,241,2002,13,14,"employment",1,1
91,1,3,0,4,1,1,"2",2,57,4,1933,241,2002,13,14,"employment",1,3
102,1,3,0,4,1,1,"2",2,57,4,1933,241,2001,13,14,"employment",1,1
1219,1,3,0,4,1,1,"2",2,57,4,1933,241,2002,13,14,"employment",1,1
1225,1,3,0,4,1,1,"2",2,57,4,1933,241,2002,13,14,"employment",1,2
1572,1,3,0,4,1,1,"2",2,57,4,1933,241,2000,13,14,"employment",1,1
1603,1,3,0,4,1,1,"2",2,57,4,1933,241,1998,13,14,"employment",1,1
1610,1,3,0,4,1,1,"2",2,57,4,1933,241,1997,13,14,"employment",1,1
3063,1,3,0,4,1,1,"2",2,57,4,1933,241,1998,13,14,"employment",1,2
87,1,0,0,1,1,1,"2",2,49,2,1940,242,2002,13,14,"employment",1,1
88,1,0,0,1,1,1,"2",2,49,2,1940,242,2002,13,14,"employment",1,1
94,1,0,0,1,1,1,"2",2,49,2,1940,242,2001,13,14,"employment",1,1
109,1,0,0,1,1,1,"2",2,49,2,1940,242,2001,13,14,"employment",1,2
110,1,0,0,1,1,1,"2",2,49,2,1940,242,2001,13,14,"employment",1,2
115,1,0,0,1,1,1,"2",2,49,2,1940,242,2000,13,14,"employment",1,1
151,1,0,0,1,1,1,"2",2,49,2,1940,242,1997,13,14,"employment",1,1
1234,1,0,0,1,1,1,"2",2,49,2,1940,242,2001,13,14,"employment",1,1
1600,1,0,0,1,1,1,"2",2,49,2,1940,242,1998,13,14,"employment",1,1
1602,1,0,0,1,1,1,"2",2,49,2,1940,242,1998,13,14,"employment",1,3
1615,1,0,0,1,1,1,"2",2,49,2,1940,242,1997,13,14,"employment",1,3
2700,1,0,0,1,1,1,"2",2,49,2,1940,242,1996,13,14,"employment",1,1
3082,1,0,0,1,1,1,"2",2,49,2,1940,242,1996,13,14,"employment",1,1
96,1,0,0,1,1,0,"2",2,NA,4,1936,244,2001,13,14,"employment",1,1
118,1,0,0,1,1,0,"2",2,NA,4,1936,244,2000,13,14,"employment",1,1
136,1,0,0,1,1,0,"2",2,NA,4,1936,244,1999,13,14,"employment",1,3
1227,1,0,0,1,1,0,"2",2,NA,4,1936,244,2002,13,14,"employment",1,3
1560,1,0,0,1,1,0,"2",2,NA,4,1936,244,2001,13,14,"employment",1,3
1587,1,0,0,1,1,0,"2",2,NA,4,1936,244,1999,13,14,"employment",1,1
1609,1,0,0,1,1,0,"2",2,NA,4,1936,244,1997,13,14,"employment",1,3
2681,1,0,0,1,1,0,"2",2,NA,4,1936,244,2002,13,14,"employment",1,1
2684,1,0,0,1,1,0,"2",2,NA,4,1936,244,2002,13,14,"employment",1,2
3038,1,0,0,1,1,0,"2",2,NA,4,1936,244,2000,13,14,"employment",1,3
3064,1,0,0,1,1,0,"2",2,NA,4,1936,244,1997,13,14,"employment",1,2
4137,1,0,0,1,1,0,"2",2,NA,4,1936,244,2002,13,14,"employment",1,1
93,2,1,0,3,1,0,"2",2,NA,4,1932,245,2001,13,14,"employment",1,3
98,2,1,0,3,1,0,"2",2,NA,4,1932,245,2001,13,14,"employment",1,1
106,2,1,0,3,1,0,"2",2,NA,4,1932,245,2001,13,14,"employment",1,2
131,2,1,0,3,1,0,"2",2,NA,4,1932,245,1999,13,14,"employment",1,3
1221,2,1,0,3,1,0,"2",2,NA,4,1932,245,2002,13,14,"employment",1,1
1224,2,1,0,3,1,0,"2",2,NA,4,1932,245,2002,13,14,"employment",1,3
1544,2,1,0,3,1,0,"2",2,NA,4,1932,245,2002,13,14,"employment",1,1
1580,2,1,0,3,1,0,"2",2,NA,4,1932,245,2000,13,14,"employment",1,2
1582,2,1,0,3,1,0,"2",2,NA,4,1932,245,2000,13,14,"employment",1,1
1592,2,1,0,3,1,0,"2",2,NA,4,1932,245,1999,13,14,"employment",1,3
1606,2,1,0,3,1,0,"2",2,NA,4,1932,245,1997,13,14,"employment",1,1
1608,2,1,0,3,1,0,"2",2,NA,4,1932,245,1997,13,14,"employment",1,3
1612,2,1,0,3,1,0,"2",2,NA,4,1932,245,1997,13,14,"employment",1,1
2686,2,1,0,3,1,0,"2",2,NA,4,1932,245,2002,13,14,"employment",1,3
2693,2,1,0,3,1,0,"2",2,NA,4,1932,245,2001,13,14,"employment",1,1
2697,2,1,0,3,1,0,"2",2,NA,4,1932,245,2001,13,14,"employment",1,1
3076,2,1,0,3,1,0,"2",2,NA,4,1932,245,1996,13,14,"employment",1,3
3078,2,1,0,3,1,0,"2",2,NA,4,1932,245,1996,13,14,"employment",1,3
1565,2,2,0,4,3,0,"2",2,NA,4,1940,246,2001,13,14,"employment",1,2
1590,2,2,0,4,3,0,"2",2,NA,4,1940,246,1999,13,14,"employment",1,3
1594,2,2,0,4,3,0,"2",2,NA,4,1940,246,1999,13,14,"employment",1,3
2683,2,2,0,4,3,0,"2",2,NA,4,1940,246,2002,13,14,"employment",1,3
3058,2,2,0,4,3,0,"2",2,NA,4,1940,246,1998,13,14,"employment",1,2
3074,2,2,0,4,3,0,"2",2,NA,4,1940,246,1997,13,14,"employment",1,3
3077,2,2,0,4,3,0,"2",2,NA,4,1940,246,1996,13,14,"employment",1,3
3087,2,2,0,4,3,0,"2",2,NA,4,1940,246,1999,13,14,"pregnancy",1,3
1231,1,1,1,2,NA,0,"2",NA,NA,NA,NA,249,2001,NA,NA,"employment",1,1
1550,1,1,1,2,NA,0,"2",NA,NA,NA,NA,249,2002,NA,NA,"employment",1,3
1568,1,1,1,2,NA,0,"2",NA,NA,NA,NA,249,2001,NA,NA,"employment",1,2
3024,1,1,1,2,NA,0,"2",NA,NA,NA,NA,249,2001,NA,NA,"employment",1,2
3028,1,1,1,2,NA,0,"2",NA,NA,NA,NA,249,2001,NA,NA,"employment",1,2
3034,1,1,1,2,NA,0,"2",NA,NA,NA,NA,249,2000,NA,NA,"employment",1,2
3035,1,1,1,2,NA,0,"2",NA,NA,NA,NA,249,2000,NA,NA,"employment",1,3
4131,1,1,1,2,NA,0,"2",NA,NA,NA,NA,249,2002,NA,NA,"employment",1,1
4152,1,1,1,2,NA,0,"2",NA,NA,NA,NA,249,2001,NA,NA,"employment",1,1
4155,1,1,1,2,NA,0,"2",NA,NA,NA,NA,249,2001,NA,NA,"employment",1,1
107,0,4,0,4,NA,0,"2",NA,NA,NA,NA,252,2001,NA,NA,"employment",0,3
1559,0,4,0,4,NA,0,"2",NA,NA,NA,NA,252,2001,NA,NA,"employment",0,2
1575,0,4,0,4,NA,0,"2",NA,NA,NA,NA,252,2000,NA,NA,"employment",0,2
1589,0,4,0,4,NA,0,"2",NA,NA,NA,NA,252,1999,NA,NA,"employment",0,2
1595,0,4,0,4,NA,0,"2",NA,NA,NA,NA,252,1999,NA,NA,"employment",0,3
2673,0,4,0,4,NA,0,"2",NA,NA,NA,NA,252,2002,NA,NA,"employment",0,1
3051,0,4,0,4,NA,0,"2",NA,NA,NA,NA,252,1999,NA,NA,"employment",0,3
132,0,2,0,2,NA,0,"2",NA,NA,NA,NA,253,1999,NA,NA,"employment",0,3
137,0,2,0,2,NA,0,"2",NA,NA,NA,NA,253,1998,NA,NA,"employment",0,2
1554,0,2,0,2,NA,0,"2",NA,NA,NA,NA,253,2001,NA,NA,"employment",0,3
1555,0,2,0,2,NA,0,"2",NA,NA,NA,NA,253,2001,NA,NA,"employment",0,1
1578,0,2,0,2,NA,0,"2",NA,NA,NA,NA,253,2000,NA,NA,"employment",0,1
1588,0,2,0,2,NA,0,"2",NA,NA,NA,NA,253,1999,NA,NA,"employment",0,1
3004,0,2,0,2,NA,0,"2",NA,NA,NA,NA,253,2002,NA,NA,"employment",0,2
3031,0,2,0,2,NA,0,"2",NA,NA,NA,NA,253,2000,NA,NA,"employment",0,1
3046,0,2,0,2,NA,0,"2",NA,NA,NA,NA,253,1999,NA,NA,"employment",0,1
