name,z,circuit,child,girls,sons,woman,age,race,religion,republican,songerID,no_cases,agemiss,religmiss,racemiss,race.0,race.1,race.2,race.3,race.4,religion.0,religion.1,religion.10,religion.2,religion.3,religion.4,religion.5,religion.7,religion.8,religion.9,religion.99,circuit.1,circuit.10,circuit.11,circuit.12,circuit.2,circuit.3,circuit.4,circuit.5,circuit.6,circuit.7,circuit.8,circuit.9,pscore,matches
"Bauer, William J.",1,7,2,2,0,0,49,1,4,1,703,30,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.707469972013133,1.33
"Beam, Clarence A.",0,8,5,0,5,0,57,1,7,1,802,37,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.576601469052428,1.8
"Becker, Edward R.",1,3,3,1,2,0,49,1,5,1,303,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.811718164856593,1.6
"Beezer, Robert R.",1,9,3,1,2,0,56,1,4,1,904,5,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.832914536731445,
"Benavides, Fortunato Pedro",1,5,2,2,0,0,0,3,2,0,566,12,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,
"Berzon, Marsha",1,9,2,1,1,1,0,0,0,0,984,3,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.71951346533025,1.37
"Birch, Stanley F., Jr.",1,11,1,1,0,0,45,1,2,1,1119,11,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.889895068709304,
"Boggs, Danny J.",1,6,3,2,1,0,42,1,5,1,603,14,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.868512331397249,
"Boudin, Michael",1,1,3,1,2,0,53,1,5,1,120,15,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.699785986839288,1.25
"Bowman, Pasco M.",1,8,3,2,1,0,50,1,3,1,805,44,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.576585880926742,1.8
"Bownes, Hugh",1,1,3,1,2,0,57,1,8,0,104,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.860154335554317,
"Bright, Myron",1,8,2,1,1,0,49,1,5,0,806,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.938561633754863,
"Brorby, Wade",0,10,2,0,2,0,54,1,7,1,1006,31,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.70375380952219,1.21
